KONUNGR;Alfred;878;883
KONUNGR;Guthrum;886;899
KONUNGR;Ingolfr;874;959
KONUNGR;Rollon;911;959
KONUNGR;Harald;960;985
KONUNGR;Erik;986;999
KONUNGR;Sweyn Forkbeard;986;1014
KONUNGR;Leif;1000;1013
KONUNGR;Brian Boru;1014;1034
KONUNGR;Thorfinn Sigurdsson;1014;1065
KONUNGR;Knut;1035;1065
KONUNGR;Harald Hardrada;1066;1066
KONUNGR;Chef Viking anonyme;793;873
KONUNGR;Chef Viking anonyme;884;959
KONUNGR;Chef Viking anonyme;986;1013
KONUNGR;Chef Viking anonyme;1035;1065
KERSIR;Æthelred;793;796
KERSIR;Brian Boru;796;800
KERSIR;Alfred;865;869
KERSIR;Harald;900;910
KERSIR;Ragnar Lodbrok;795;865
KERSIR;Chef Viking anonyme;801;864
KERSIR;Chef Viking anonyme;870;877
KERSIR;Chef Viking anonyme;911;1050
KERSIR;Chef Viking anonyme;1051;1065
